new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,1,0,1,0,2048,1,167.2368
0,2,2,2,1,0,512,5,163.9568
1,1,2,0,0,0,4096,5,337.4748
1,1,1,2,1,1,1024,5,337.4748
1,1,1,0,0,1,512,1,337.4748
1,2,2,0,0,1,1024,5,164.6338
1,2,1,0,0,1,512,1,167.9768
1,1,2,0,1,0,2048,1,337.4748
0,1,2,2,1,1,4096,1,337.4748
1,2,1,2,1,1,4096,1,337.4748
0,2,2,0,1,0,512,5,163.0798
0,2,1,0,1,1,512,5,167.0458
0,1,2,0,1,0,512,5,337.4748
0,2,2,1,0,0,512,9,164.7606
0,2,2,2,1,1,1024,9,164.6752
0,2,1,2,0,0,512,5,337.4748
0,1,2,1,0,0,512,1,337.4748
1,2,2,0,0,0,512,5,165.3404
0,2,2,0,1,1,2048,5,165.4042
1,0,2,0,1,1,1024,9,337.4748
1,0,2,0,1,0,1024,5,337.4748
0,1,1,0,0,0,1024,1,337.4748
1,1,2,0,0,0,512,0,31.6822
1,1,2,0,1,1,512,5,337.4748
1,2,2,0,0,0,1024,0,337.4748
0,1,1,0,1,1,2048,9,337.4748
0,1,1,1,1,0,1024,0,337.4748
1,1,2,1,0,0,1024,0,31.9878
1,0,2,2,0,1,1024,0,164.182
1,1,2,0,0,0,512,1,337.4748
1,2,1,0,0,0,4096,1,165.9102
0,0,2,0,0,0,512,1,337.4748
1,1,2,0,0,1,512,0,31.2796
0,0,1,0,1,1,2048,0,166.5992
1,0,2,1,0,1,1024,1,337.4748
0,0,1,2,1,0,1024,5,337.4748
1,0,2,0,0,1,2048,0,165.7684
1,2,2,1,0,1,512,5,165.5166
1,1,2,0,0,1,512,0,31.2796
1,1,1,0,1,0,512,0,32.389
0,1,1,1,0,0,512,5,337.4748
1,1,2,0,0,1,1024,1,337.4748
1,2,2,0,1,1,512,0,337.4748
1,1,2,0,1,1,512,0,32.436
0,1,2,0,0,1,512,0,31.1982
0,2,1,0,1,0,512,0,337.4748
0,2,2,0,1,1,512,0,337.4748
1,0,2,0,0,0,512,0,164.1818
0,1,2,1,1,1,2048,0,32.8896
0,1,2,1,0,1,512,5,337.4748
0,0,2,1,0,1,1024,0,165.681
0,2,2,0,0,0,512,9,164.7462
0,0,2,0,0,1,512,0,162.9272
1,1,2,1,0,1,512,0,32.099
0,1,2,0,0,0,512,0,31.3186
0,0,2,1,1,1,2048,0,166.6984
0,1,2,1,0,1,512,0,31.4648
0,0,2,0,1,1,512,0,166.063
0,0,2,0,0,1,2048,0,166.7804
0,1,2,0,0,0,2048,5,337.4748
0,2,1,0,1,1,4096,5,166.6048
0,1,2,2,0,0,1024,0,31.2602
0,0,2,0,0,1,1024,0,163.366
0,1,2,2,0,1,512,0,31.6628
0,2,2,1,0,1,512,0,337.4748
1,2,2,1,0,1,2048,1,166.4322
0,0,1,2,1,1,2048,0,337.4748
1,0,1,0,0,1,4096,0,166.5042
1,0,1,2,0,1,1024,0,337.4748
0,2,2,0,0,0,512,0,337.4748
1,1,1,2,1,0,1024,9,337.4748
1,1,2,2,0,0,1024,0,31.7042
0,1,2,0,1,0,512,0,31.0946
0,0,2,1,1,0,1024,0,166.7776
0,1,2,0,1,1,512,0,31.4334
0,1,2,2,0,1,4096,5,337.4748
0,1,2,1,0,0,512,0,30.7448
0,0,2,1,0,0,512,0,165.9226
1,1,1,1,1,0,2048,0,337.4748
0,1,2,1,0,0,1024,1,337.4748
0,0,1,2,0,0,1024,9,337.4748
1,0,2,1,0,0,512,0,163.4738
0,0,1,0,0,0,512,9,337.4748
0,2,2,1,0,0,2048,0,337.4748
0,1,2,2,0,0,2048,0,31.9334
0,2,1,0,0,1,512,9,165.847
0,1,2,1,1,1,512,0,31.368
1,1,1,2,0,0,512,0,337.4748
0,0,2,2,0,0,1024,0,164.0658
0,2,2,1,1,1,4096,5,166.794
0,1,2,1,0,1,4096,9,337.4748
1,1,2,1,1,0,512,0,31.6506
1,1,2,0,1,0,512,0,31.376
0,0,2,2,0,0,2048,0,165.8586
0,1,2,1,1,0,512,0,31.03
0,0,2,1,1,0,1024,9,337.4748
1,1,1,1,1,0,512,0,337.4748
1,1,2,1,1,1,512,0,31.6374
0,1,1,0,0,1,512,0,32.3318
0,1,1,1,0,1,512,9,337.4748
